Month,target_rolling_pandas
1949-01-01,112.0
1949-02-01,115.0
1949-03-01,120.66666666666667
1949-04-01,125.0
1949-05-01,126.5
1949-06-01,128.0
1949-07-01,134.66666666666666
1949-08-01,141.5
1949-09-01,142.0
1949-10-01,136.0
1949-11-01,120.0
1949-12-01,111.0
1950-01-01,112.33333333333333
1950-02-01,116.5
1950-03-01,128.0
1950-04-01,138.0
1950-05-01,133.66666666666666
1950-06-01,136.33333333333334
1950-07-01,148.0
1950-08-01,163.0
1950-09-01,170.0
1950-10-01,151.5
1950-11-01,123.5
1950-12-01,123.5
1951-01-01,129.5
1951-02-01,147.5
1951-03-01,147.5
1951-04-01,156.5
1951-05-01,163.0
1951-06-01,170.5
1951-07-01,188.5
1951-08-01,192.0
1951-09-01,194.0
1951-10-01,181.66666666666666
1951-11-01,164.0
1951-12-01,154.0
1952-01-01,158.5
1952-02-01,175.5
1952-03-01,181.33333333333334
1952-04-01,184.66666666666666
1952-05-01,187.0
1952-06-01,199.5
1952-07-01,224.0
1952-08-01,230.0
1952-09-01,227.0
1952-10-01,214.0
1952-11-01,190.66666666666666
1952-12-01,185.66666666666666
1953-01-01,187.33333333333334
1953-02-01,195.0
1953-03-01,216.0
1953-04-01,235.5
1953-05-01,235.5
1953-06-01,239.0
1953-07-01,253.5
1953-08-01,253.5
1953-09-01,250.5
1953-10-01,224.0
1953-11-01,209.33333333333334
1953-12-01,197.33333333333334
1954-01-01,195.0
1954-02-01,197.66666666666666
1954-03-01,209.0
1954-04-01,211.5
1954-05-01,234.5
1954-06-01,234.0
1954-07-01,268.0
1954-08-01,297.5
1954-09-01,284.6666666666667
1954-10-01,260.3333333333333
1954-11-01,230.33333333333334
1954-12-01,220.33333333333334
1955-01-01,224.66666666666666
1955-02-01,234.66666666666666
1955-03-01,247.33333333333334
1955-04-01,256.3333333333333
1955-05-01,268.6666666666667
1955-06-01,284.6666666666667
1955-07-01,316.3333333333333
1955-08-01,342.0
1955-09-01,341.0
1955-10-01,311.0
1955-11-01,274.3333333333333
1955-12-01,263.0
1956-01-01,266.3333333333333
1956-02-01,279.6666666666667
1956-03-01,292.6666666666667
1956-04-01,302.3333333333333
1956-05-01,316.0
1956-06-01,335.0
1956-07-01,368.3333333333333
1956-08-01,393.5
1956-09-01,384.0
1956-10-01,330.5
1956-11-01,310.6666666666667
1956-12-01,288.5
1957-01-01,293.0
1957-02-01,315.0
1957-03-01,315.0
1957-04-01,348.0
1957-05-01,351.5
1957-06-01,375.0
1957-07-01,388.5
1957-08-01,444.5
1957-09-01,435.5
1957-10-01,406.0
1957-11-01,352.0
1957-12-01,329.3333333333333
1958-01-01,327.0
1958-02-01,331.3333333333333
1958-03-01,340.0
1958-04-01,340.0
1958-05-01,362.5
1958-06-01,399.0
1958-07-01,429.6666666666667
1958-08-01,477.0
1958-09-01,466.6666666666667
1958-10-01,454.5
1958-11-01,357.0
1958-12-01,310.0
1959-01-01,310.0
1959-02-01,342.0
1959-03-01,374.0
1959-04-01,381.3333333333333
1959-05-01,407.3333333333333
1959-06-01,429.3333333333333
1959-07-01,480.0
1959-08-01,526.3333333333334
1959-09-01,523.3333333333334
1959-10-01,476.3333333333333
1959-11-01,410.6666666666667
1959-12-01,384.5
1960-01-01,362.0
1960-02-01,391.0
1960-03-01,405.0
1960-04-01,405.0
1960-05-01,445.5
1960-06-01,503.5
1960-07-01,503.5
1960-08-01,570.5
1960-09-01,557.0
1960-10-01,525.0
1960-11-01,453.0
1960-12-01,427.6666666666667
